180410 221118.458|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to D:\орн▒\ITSA_Login3\ITSA_Login3\bin\logs directory.
180410 221118.828|INFO|Thread-9|dumpPacket|   key: SERVER_CLOCK_OFFSET is: java.util.GregorianCalendar java.util.GregorianCalendar[time=1523369504863,areFieldsSet=true,areAllFieldsSet=false,lenient=true,zone=sun.util.calendar.ZoneInfo[id="GMT",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2018,MONTH=3,WEEK_OF_YEAR=15,WEEK_OF_MONTH=2,DAY_OF_MONTH=10,DAY_OF_YEAR=100,DAY_OF_WEEK=3,DAY_OF_WEEK_IN_MONTH=2,AM_PM=1,HOUR=2,HOUR_OF_DAY=14,MINUTE=11,SECOND=44,MILLISECOND=863,ZONE_OFFSET=0,DST_OFFSET=0]
180410 221118.828|INFO|Thread-9|dumpPacket|   key: JUDGEMENT_LIST is: [Ledu.csus.ecs.pc2.core.model.Judgement; [Ledu.csus.ecs.pc2.core.model.Judgement;@1f812fc4
180410 221118.828|INFO|Thread-9|dumpPacket|   key: PROBLEM_DATA_FILES is: [Ledu.csus.ecs.pc2.core.model.ProblemDataFiles; [Ledu.csus.ecs.pc2.core.model.ProblemDataFiles;@1bbeb8ec
180410 221118.828|INFO|Thread-9|dumpPacket|   key: LANGUAGE_LIST is: [Ledu.csus.ecs.pc2.core.model.Language; [Ledu.csus.ecs.pc2.core.model.Language;@5ebc25ff
180410 221118.828|INFO|Thread-9|dumpPacket|   key: PROFILE is: edu.csus.ecs.pc2.core.model.Profile Default-5903634455156413467
180410 221118.828|INFO|Thread-9|dumpPacket|   key: BALLOON_SETTINGS_LIST is: [Ledu.csus.ecs.pc2.core.model.BalloonSettings; [Ledu.csus.ecs.pc2.core.model.BalloonSettings;@7941d787
180410 221118.828|INFO|Thread-9|dumpPacket|   key: REMOTE_LOGGED_IN_USERS is: [Ledu.csus.ecs.pc2.core.model.ClientId; [Ledu.csus.ecs.pc2.core.model.ClientId;@6f283864
180410 221118.828|INFO|Thread-9|dumpPacket|   key: CLARIFICATION_LIST is: [Ledu.csus.ecs.pc2.core.model.Clarification; [Ledu.csus.ecs.pc2.core.model.Clarification;@13f94b5
180410 221118.828|INFO|Thread-9|dumpPacket|   key: CONTEST_IDENTIFIER is: java.lang.String Default-5078223832395999985
180410 221118.828|INFO|Thread-9|dumpPacket|   key: PROBLEM_LIST is: [Ledu.csus.ecs.pc2.core.model.Problem; [Ledu.csus.ecs.pc2.core.model.Problem;@3e93dab0
180410 221118.828|INFO|Thread-9|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
180410 221118.828|INFO|Thread-9|dumpPacket|   key: CATEGORY_LIST is: [Ledu.csus.ecs.pc2.core.model.Category; [Ledu.csus.ecs.pc2.core.model.Category;@4999cf0a
180410 221118.828|INFO|Thread-9|dumpPacket|   key: CLIENT_SETTINGS_LIST is: [Ledu.csus.ecs.pc2.core.model.ClientSettings; [Ledu.csus.ecs.pc2.core.model.ClientSettings;@675c2545
180410 221118.829|INFO|Thread-9|dumpPacket|   key: LOCAL_LOGGED_IN_USERS is: [Ledu.csus.ecs.pc2.core.model.ClientId; [Ledu.csus.ecs.pc2.core.model.ClientId;@1a3b9f27
180410 221118.829|INFO|Thread-9|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId TEAM610 @ site 1
180410 221118.829|INFO|Thread-9|dumpPacket|   key: GROUP_LIST is: [Ledu.csus.ecs.pc2.core.model.Group; [Ledu.csus.ecs.pc2.core.model.Group;@3add808a
180410 221118.829|INFO|Thread-9|dumpPacket|   key: CONNECTION_HANDLE_ID_LIST is: [Ledu.csus.ecs.pc2.core.transport.ConnectionHandlerID; [Ledu.csus.ecs.pc2.core.transport.ConnectionHandlerID;@3d3be944
180410 221118.829|INFO|Thread-9|dumpPacket|   key: CONTEST_TIME is: edu.csus.ecs.pc2.core.model.ContestTime edu.csus.ecs.pc2.core.model.ContestTime@3b4b85ab
180410 221118.829|INFO|Thread-9|dumpPacket|   key: PROFILE_LIST is: [Ledu.csus.ecs.pc2.core.model.Profile; [Ledu.csus.ecs.pc2.core.model.Profile;@7d4ff742
180410 221118.829|INFO|Thread-9|dumpPacket|   key: CONTEST_TIME_LIST is: [Ledu.csus.ecs.pc2.core.model.ContestTime; [Ledu.csus.ecs.pc2.core.model.ContestTime;@2bc0f1b1
180410 221118.829|INFO|Thread-9|dumpPacket|   key: CONTEST_INFORMATION is: edu.csus.ecs.pc2.core.model.ContestInformation edu.csus.ecs.pc2.core.model.ContestInformation@49d34c44
180410 221118.829|INFO|Thread-9|dumpPacket|   key: SITE_LIST is: [Ledu.csus.ecs.pc2.core.model.Site; [Ledu.csus.ecs.pc2.core.model.Site;@2e52fe08
180410 221118.829|INFO|Thread-9|dumpPacket|   key: RUN_LIST is: [Ledu.csus.ecs.pc2.core.model.Run; [Ledu.csus.ecs.pc2.core.model.Run;@2ca5f967
180410 221118.829|INFO|Thread-9|info|handlePacket start Packet[LOGIN_SUCCESS] #300 SERVER0 @ site 1 -> TEAM610 @ site 1
180410 221118.829|INFO|Thread-9|dumpPacket|Packet LOGIN_SUCCESS (Seq #300 ) handlePacket
180410 221118.829|INFO|Thread-9|dumpPacket|  From: SERVER0 @ site 1 (User-PC @ 140.116.82.72) (Contest Id: Default-5078223832395999985)
180410 221118.829|INFO|Thread-9|dumpPacket|    To: TEAM610 @ site 1
180410 221118.829|INFO|Thread-9|dumpPacket|   key: ACCOUNT_ARRAY is: [Ledu.csus.ecs.pc2.core.model.Account; [Ledu.csus.ecs.pc2.core.model.Account;@1146d39c
180410 221118.830|INFO|Thread-9|dumpPacket|   key: GENERAL_PROBLEM is: edu.csus.ecs.pc2.core.model.Problem General
180410 221118.830|INFO|Thread-9|dumpPacket|   key: SERVER_CLOCK_OFFSET is: java.util.GregorianCalendar java.util.GregorianCalendar[time=1523369504863,areFieldsSet=true,areAllFieldsSet=false,lenient=true,zone=sun.util.calendar.ZoneInfo[id="GMT",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2018,MONTH=3,WEEK_OF_YEAR=15,WEEK_OF_MONTH=2,DAY_OF_MONTH=10,DAY_OF_YEAR=100,DAY_OF_WEEK=3,DAY_OF_WEEK_IN_MONTH=2,AM_PM=1,HOUR=2,HOUR_OF_DAY=14,MINUTE=11,SECOND=44,MILLISECOND=863,ZONE_OFFSET=0,DST_OFFSET=0]
180410 221118.830|INFO|Thread-9|dumpPacket|   key: JUDGEMENT_LIST is: [Ledu.csus.ecs.pc2.core.model.Judgement; [Ledu.csus.ecs.pc2.core.model.Judgement;@1f812fc4
180410 221118.830|INFO|Thread-9|dumpPacket|   key: PROBLEM_DATA_FILES is: [Ledu.csus.ecs.pc2.core.model.ProblemDataFiles; [Ledu.csus.ecs.pc2.core.model.ProblemDataFiles;@1bbeb8ec
180410 221118.830|INFO|Thread-9|dumpPacket|   key: LANGUAGE_LIST is: [Ledu.csus.ecs.pc2.core.model.Language; [Ledu.csus.ecs.pc2.core.model.Language;@5ebc25ff
180410 221118.830|INFO|Thread-9|dumpPacket|   key: PROFILE is: edu.csus.ecs.pc2.core.model.Profile Default-5903634455156413467
180410 221118.830|INFO|Thread-9|dumpPacket|   key: BALLOON_SETTINGS_LIST is: [Ledu.csus.ecs.pc2.core.model.BalloonSettings; [Ledu.csus.ecs.pc2.core.model.BalloonSettings;@7941d787
180410 221118.830|INFO|Thread-9|dumpPacket|   key: REMOTE_LOGGED_IN_USERS is: [Ledu.csus.ecs.pc2.core.model.ClientId; [Ledu.csus.ecs.pc2.core.model.ClientId;@6f283864
180410 221118.830|INFO|Thread-9|dumpPacket|   key: CLARIFICATION_LIST is: [Ledu.csus.ecs.pc2.core.model.Clarification; [Ledu.csus.ecs.pc2.core.model.Clarification;@13f94b5
180410 221118.830|INFO|Thread-9|dumpPacket|   key: CONTEST_IDENTIFIER is: java.lang.String Default-5078223832395999985
180410 221118.830|INFO|Thread-9|dumpPacket|   key: PROBLEM_LIST is: [Ledu.csus.ecs.pc2.core.model.Problem; [Ledu.csus.ecs.pc2.core.model.Problem;@3e93dab0
180410 221118.830|INFO|Thread-9|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
180410 221118.830|INFO|Thread-9|dumpPacket|   key: CATEGORY_LIST is: [Ledu.csus.ecs.pc2.core.model.Category; [Ledu.csus.ecs.pc2.core.model.Category;@4999cf0a
180410 221118.830|INFO|Thread-9|dumpPacket|   key: CLIENT_SETTINGS_LIST is: [Ledu.csus.ecs.pc2.core.model.ClientSettings; [Ledu.csus.ecs.pc2.core.model.ClientSettings;@675c2545
180410 221118.831|INFO|Thread-9|dumpPacket|   key: LOCAL_LOGGED_IN_USERS is: [Ledu.csus.ecs.pc2.core.model.ClientId; [Ledu.csus.ecs.pc2.core.model.ClientId;@1a3b9f27
180410 221118.831|INFO|Thread-9|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId TEAM610 @ site 1
180410 221118.831|INFO|Thread-9|dumpPacket|   key: GROUP_LIST is: [Ledu.csus.ecs.pc2.core.model.Group; [Ledu.csus.ecs.pc2.core.model.Group;@3add808a
180410 221118.831|INFO|Thread-9|dumpPacket|   key: CONNECTION_HANDLE_ID_LIST is: [Ledu.csus.ecs.pc2.core.transport.ConnectionHandlerID; [Ledu.csus.ecs.pc2.core.transport.ConnectionHandlerID;@3d3be944
180410 221118.831|INFO|Thread-9|dumpPacket|   key: CONTEST_TIME is: edu.csus.ecs.pc2.core.model.ContestTime edu.csus.ecs.pc2.core.model.ContestTime@3b4b85ab
180410 221118.831|INFO|Thread-9|dumpPacket|   key: PROFILE_LIST is: [Ledu.csus.ecs.pc2.core.model.Profile; [Ledu.csus.ecs.pc2.core.model.Profile;@7d4ff742
180410 221118.831|INFO|Thread-9|dumpPacket|   key: CONTEST_TIME_LIST is: [Ledu.csus.ecs.pc2.core.model.ContestTime; [Ledu.csus.ecs.pc2.core.model.ContestTime;@2bc0f1b1
180410 221118.831|INFO|Thread-9|dumpPacket|   key: CONTEST_INFORMATION is: edu.csus.ecs.pc2.core.model.ContestInformation edu.csus.ecs.pc2.core.model.ContestInformation@49d34c44
180410 221118.831|INFO|Thread-9|dumpPacket|   key: SITE_LIST is: [Ledu.csus.ecs.pc2.core.model.Site; [Ledu.csus.ecs.pc2.core.model.Site;@2e52fe08
180410 221118.831|INFO|Thread-9|dumpPacket|   key: RUN_LIST is: [Ledu.csus.ecs.pc2.core.model.Run; [Ledu.csus.ecs.pc2.core.model.Run;@2ca5f967
180410 221934.028|INFO|Thread-11|run|send(Serializable)
180410 221934.111|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
180410 221935.586|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
180410 225645.184|INFO|Thread-14|run|send(Serializable)
180410 225645.267|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
180410 225647.183|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
180410 225654.627|INFO|Thread-17|run|send(Serializable)
180410 225654.719|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
180410 225655.991|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
